Date,Offline_Spend,Online_Spend,Total_Marketing_Spend
2019-01-01,4500,2424.5,6924.5
2019-01-02,4500,3480.36,7980.360000000001
2019-01-03,4500,1576.38,6076.38
2019-01-04,4500,2928.55,7428.55
2019-01-05,4500,4055.3,8555.3
2019-01-06,4500,3796.85,8296.85
2019-01-07,4500,2579.52,7079.52
2019-01-08,5000,2551.38,7551.38
2019-01-09,5000,3287.83,8287.83
2019-01-10,5000,515.44,5515.4400000000005
2019-01-11,5000,1757.58,6757.58
2019-01-12,5000,2435.97,7435.969999999999
2019-01-13,5000,2449.65,7449.65
2019-01-14,5000,1920.57,6920.57
2019-01-15,3000,1734.68,4734.68
2019-01-16,3000,3727.61,6727.610000000001
2019-01-17,3000,417.73,3417.73
2019-01-18,3000,1312.5,4312.5
2019-01-19,3000,2753.56,5753.5599999999995
2019-01-20,3000,2073.51,5073.51
2019-01-21,3000,640.93,3640.93
2019-01-22,1000,1049.73,2049.73
2019-01-23,1000,1356.59,2356.59
2019-01-24,1000,560.02,1560.02
2019-01-25,1000,1124.95,2124.95
2019-01-26,1000,937.58,1937.58
2019-01-27,1000,687.86,1687.8600000000001
2019-01-28,1000,993.69,1993.69
2019-01-29,700,836.13,1536.13
2019-01-30,700,981.86,1681.8600000000001
2019-01-31,700,1380.14,2080.1400000000003
2019-02-01,700,692.67,1392.67
2019-02-02,700,770.87,1470.87
2019-02-03,700,2091.61,2791.61
2019-02-04,700,2216.98,2916.98
2019-02-05,3000,2486.46,5486.46
2019-02-06,3000,1665.47,4665.47
2019-02-07,3000,877.2,3877.2
2019-02-08,3000,1973.27,4973.27
2019-02-09,3000,2659.34,5659.34
2019-02-10,3000,2037.41,5037.41
2019-02-11,3000,2864.69,5864.6900000000005
2019-02-12,3000,2844.64,5844.639999999999
2019-02-13,3000,2007.32,5007.32
2019-02-14,3000,830.68,3830.68
2019-02-15,3000,1738.89,4738.89
2019-02-16,3000,3784.07,6784.07
2019-02-17,3000,2107.67,5107.67
2019-02-18,3000,1586.43,4586.43
2019-02-19,3500,1720.16,5220.16
2019-02-20,3500,2768.28,6268.280000000001
2019-02-21,3500,727.39,4227.39
2019-02-22,3500,939.9,4439.9
2019-02-23,3500,2548.51,6048.51
