CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Label,Cluster_Name,Heuristic_Segment
12346,108,1,24.981739999999995,3,1,1,5,2,At Risk Customers,New Customers
12347,60,31,15021.70396,3,4,4,11,3,Loyal Customers,Loyal Customers
12348,74,8,1492.40594,3,2,2,7,3,Loyal Customers,Potential Loyalists
12350,18,11,1339.55528,4,2,2,8,3,Loyal Customers,Potential Loyalists
12356,108,13,1369.939,3,3,2,8,3,Loyal Customers,Potential Loyalists
12359,131,3,688.0332,3,1,2,6,3,Loyal Customers,New Customers
12370,190,44,7366.30482,2,4,4,10,3,Loyal Customers,Loyal Customers
12373,25,5,492.60605999999996,4,1,1,6,3,Loyal Customers,New Customers
12377,41,37,10473.22066,4,4,4,12,3,Loyal Customers,Champions
12383,100,39,5271.309560000001,3,4,4,11,3,Loyal Customers,Loyal Customers
12386,157,6,579.40158,2,2,1,5,2,At Risk Customers,Hibernating
12388,115,10,778.3265,3,2,2,7,3,Loyal Customers,Potential Loyalists
12393,123,13,2217.09438,3,3,3,9,3,Loyal Customers,Loyal Customers
12395,165,14,1463.40164,2,3,2,7,0,Regular Customers,At Risk
12402,95,6,603.2133,3,2,1,6,3,Loyal Customers,Potential Loyalists
12410,11,14,2464.3541999999998,4,3,3,10,3,Loyal Customers,Loyal Customers
12413,132,10,3182.7752600000003,3,2,3,8,3,Loyal Customers,Potential Loyalists
12414,18,6,653.4715,4,2,1,7,3,Loyal Customers,Potential Loyalists
12415,141,24,2935.76923,2,4,3,9,3,Loyal Customers,Loyal Customers
12417,75,15,1744.40804,3,3,2,8,3,Loyal Customers,Potential Loyalists
12421,77,6,1988.42838,3,2,3,8,3,Loyal Customers,Potential Loyalists
12422,103,9,920.72776,3,2,2,7,3,Loyal Customers,Potential Loyalists
12423,173,8,742.8646600000001,2,2,2,6,0,Regular Customers,Hibernating
12427,171,3,1420.55808,2,1,2,5,0,Regular Customers,Hibernating
12429,263,10,2421.1722800000002,1,2,3,6,0,Regular Customers,Hibernating
12431,41,32,5862.48308,4,4,4,12,3,Loyal Customers,Champions
12433,266,55,15042.39364,1,4,4,9,0,Regular Customers,Loyal Customers
12434,223,1,32.7776,1,1,1,3,2,At Risk Customers,Hibernating
12437,18,14,2628.78638,4,3,3,10,3,Loyal Customers,Loyal Customers
12441,278,11,1570.65868,1,2,2,5,0,Regular Customers,Hibernating
12451,104,57,9775.50554,3,4,4,11,1,VIP Customers,Loyal Customers
12464,14,6,1043.8122,4,2,2,8,3,Loyal Customers,Potential Loyalists
12468,52,7,1465.5624400000002,4,2,2,8,3,Loyal Customers,Potential Loyalists
12471,16,70,14486.478650000001,4,4,4,12,1,VIP Customers,Champions
12472,63,67,11724.353700000001,3,4,4,11,1,VIP Customers,Loyal Customers
12474,61,27,6944.494740000001,3,4,4,11,3,Loyal Customers,Loyal Customers
12476,34,13,3157.021,4,3,3,10,3,Loyal Customers,Loyal Customers
12477,27,2,241.23685,4,1,1,6,2,At Risk Customers,New Customers
12480,148,14,1418.30036,2,3,2,7,3,Loyal Customers,At Risk
12481,152,13,9363.5437,2,3,4,9,3,Loyal Customers,Loyal Customers
12483,167,6,1083.5919800000001,2,2,2,6,0,Regular Customers,Hibernating
12484,150,35,5524.78394,2,4,4,10,3,Loyal Customers,Loyal Customers
12489,151,6,878.86396,2,2,2,6,3,Loyal Customers,Hibernating
12490,124,22,2791.59672,3,3,3,9,3,Loyal Customers,Loyal Customers
12494,165,5,444.76556999999997,2,1,1,4,2,At Risk Customers,Hibernating
12500,141,3,72.4874,2,1,1,4,2,At Risk Customers,Hibernating
